;office_name;county_id;candidate_name;party_affiliation;num_precincts_reporting;total_num_precincts_voting;candidate_votes;candidate_percent_vote
283;COUNTY COMMISSIONER DISTRICT 3;12;WRITE-IN (TOTAL);WI;23;23;0;0
284;COUNTY COMMISSIONER DISTRICT 5;12;GENE VAN BINSBERGEN;NP;23;23;1028;98.66
285;COUNTY COMMISSIONER DISTRICT 5;12;WRITE-IN (TOTAL);WI;23;23;14;1.34
286;COUNTY AUDITOR/TREASURER;12;JON N. CLAUSON;NP;23;23;3801;65.68
287;COUNTY AUDITOR/TREASURER;12;DAVID VAN KLOMPENBURG;NP;23;23;1979;34.2
288;COUNTY AUDITOR/TREASURER;12;WRITE-IN (TOTAL);WI;23;23;7;0.12
289;COUNTY RECORDER;12;JAN LENNING;NP;23;23;5223;99.77
290;COUNTY RECORDER;12;WRITE-IN (TOTAL);WI;23;23;12;0.23
291;COUNTY SHERIFF;12;KELLY AALFS;NP;23;23;2582;44.07
292;COUNTY SHERIFF;12;STACY TUFTO;NP;23;23;3264;55.71
293;COUNTY SHERIFF;12;WRITE-IN (TOTAL);WI;23;23;13;0.22
294;COUNTY ATTORNEY;12;DWAYNE KNUTSEN;NP;23;23;5334;99.66
295;COUNTY ATTORNEY;12;WRITE-IN (TOTAL);WI;23;23;18;0.34
296;COUNTY CORONER;12;RON JONES, MD;NP;23;23;5389;99.85
297;COUNTY CORONER;12;WRITE-IN (TOTAL);WI;23;23;8;0.15
298;SOIL AND WATER SUPERVISOR DISTRICT 1;12;LARRY KITTELSON;NP;23;23;5280;99.92
299;SOIL AND WATER SUPERVISOR DISTRICT 1;12;WRITE-IN (TOTAL);WI;23;23;4;0.08
300;SOIL AND WATER SUPERVISOR DISTRICT 4;12;DAWN SCHULER;NP;23;23;5201;99.96
301;SOIL AND WATER SUPERVISOR DISTRICT 4;12;WRITE-IN (TOTAL);WI;23;23;2;0.04
302;COUNTY COMMISSIONER DISTRICT 1;13;BRIAN GREENE;NP;23;23;2100;45.77
303;COUNTY COMMISSIONER DISTRICT 1;13;LORA WALKER;NP;23;23;2471;53.86
304;COUNTY COMMISSIONER DISTRICT 1;13;WRITE-IN (TOTAL);WI;23;23;17;0.37
305;COUNTY COMMISSIONER DISTRICT 2;13;RICK OLSEEN;NP;23;23;2043;53.06
306;COUNTY COMMISSIONER DISTRICT 2;13;BOB VANDE KAMP;NP;23;23;1789;46.47
307;COUNTY COMMISSIONER DISTRICT 2;13;WRITE-IN (TOTAL);WI;23;23;18;0.47
308;COUNTY COMMISSIONER DISTRICT 4;13;BEN MONTZKA;NP;23;23;3630;98.88
309;COUNTY COMMISSIONER DISTRICT 4;13;WRITE-IN (TOTAL);WI;23;23;41;1.12
310;COUNTY AUDITOR;13;DENNIS J FREED;NP;23;23;17202;99.36
311;COUNTY AUDITOR;13;WRITE-IN (TOTAL);WI;23;23;110;0.64
312;COUNTY TREASURER;13;LEE OLSON;NP;23;23;17552;99.48
313;COUNTY TREASURER;13;WRITE-IN (TOTAL);WI;23;23;92;0.52
314;COUNTY SHERIFF;13;TODD RIVARD;NP;23;23;13830;69.95
315;COUNTY SHERIFF;13;RICK DUNCAN;NP;23;23;5901;29.85
316;COUNTY SHERIFF;13;WRITE-IN (TOTAL);WI;23;23;39;0.2
317;COUNTY ATTORNEY;13;KATHERINE M. JOHNSON;NP;23;23;9537;50.57
318;COUNTY ATTORNEY;13;TIMOTHY T  RYAN;NP;23;23;9276;49.19
319;COUNTY ATTORNEY;13;WRITE-IN (TOTAL);WI;23;23;46;0.24
320;SOIL AND WATER SUPERVISOR DISTRICT 1;13;DALE BERGFALK;NP;23;23;6826;41.06
321;SOIL AND WATER SUPERVISOR DISTRICT 1;13;CRAIG MOLD;NP;23;23;9734;58.56
322;SOIL AND WATER SUPERVISOR DISTRICT 1;13;WRITE-IN (TOTAL);WI;23;23;63;0.38
323;SOIL AND WATER SUPERVISOR DISTRICT 3;13;MARY ANN JAY;NP;23;23;16204;99.44
324;SOIL AND WATER SUPERVISOR DISTRICT 3;13;WRITE-IN (TOTAL);WI;23;23;91;0.56
325;COUNTY COMMISSIONER DISTRICT 1;14;DEAN L. GUIDA;NP;54;54;1604;42.5
326;COUNTY COMMISSIONER DISTRICT 1;14;BEN BRUNSVOLD;NP;54;54;2151;57
327;COUNTY COMMISSIONER DISTRICT 1;14;WRITE-IN (TOTAL);WI;54;54;19;0.5
328;COUNTY COMMISSIONER DISTRICT 3;14;JON EVERT;NP;54;54;2600;66.14
329;COUNTY COMMISSIONER DISTRICT 3;14;RICHARD L. PEPPEL;NP;54;54;1317;33.5
330;COUNTY COMMISSIONER DISTRICT 3;14;WRITE-IN (TOTAL);WI;54;54;14;0.36
331;COUNTY COMMISSIONER DISTRICT 4;14;KEVIN CAMPBELL;NP;54;54;1897;54.48
332;COUNTY COMMISSIONER DISTRICT 4;14;CURT BORGEN;NP;54;54;1577;45.29
333;COUNTY COMMISSIONER DISTRICT 4;14;WRITE-IN (TOTAL);WI;54;54;8;0.23
334;COUNTY COMMISSIONER DISTRICT 5;14;MIKE (MAC) MCCARTHY;NP;54;54;3534;99.07
335;COUNTY COMMISSIONER DISTRICT 5;14;WRITE-IN (TOTAL);WI;54;54;33;0.93
336;COUNTY AUDITOR;14;LORI J. JOHNSON;NP;54;54;18226;99.68
337;COUNTY AUDITOR;14;WRITE-IN (TOTAL);WI;54;54;58;0.32
338;COUNTY TREASURER;14;BETTY J. SWETLAND;NP;54;54;18579;99.73
339;COUNTY TREASURER;14;WRITE-IN (TOTAL);WI;54;54;51;0.27
340;COUNTY RECORDER;14;J. BONNIE REHDER;NP;54;54;18101;99.8
341;COUNTY RECORDER;14;WRITE-IN (TOTAL);WI;54;54;36;0.2
342;COUNTY SHERIFF;14;BILL BERGQUIST;NP;54;54;11133;56.17
343;COUNTY SHERIFF;14;BRYAN GREEN;NP;54;54;8609;43.43
344;COUNTY SHERIFF;14;WRITE-IN (TOTAL);WI;54;54;79;0.4
345;COUNTY ATTORNEY;14;LISA N. BORGEN;NP;54;54;18360;99.16
346;COUNTY ATTORNEY;14;WRITE-IN (TOTAL);WI;54;54;155;0.84
347;SOIL AND WATER SUPERVISOR DISTRICT 3;14;KENNETH SCHELLACK;NP;54;54;8806;53.03
348;SOIL AND WATER SUPERVISOR DISTRICT 3;14;CHARLES LEACH;NP;54;54;7736;46.59
349;SOIL AND WATER SUPERVISOR DISTRICT 3;14;WRITE-IN (TOTAL);WI;54;54;63;0.38
350;SOIL AND WATER SUPERVISOR DISTRICT 4;14;PAUL G. KRABBENHOFT;NP;54;54;17196;99.76
351;SOIL AND WATER SUPERVISOR DISTRICT 4;14;WRITE-IN (TOTAL);WI;54;54;41;0.24
352;COUNTY COMMISSIONER DISTRICT 1;15;DUANE J. HAYES;NP;29;29;285;41.36
353;COUNTY COMMISSIONER DISTRICT 1;15;CHRIS J. ARNOLD;NP;29;29;118;17.13
354;COUNTY COMMISSIONER DISTRICT 1;15;WRITE-IN (TOTAL);WI;29;29;286;41.51
355;COUNTY COMMISSIONER DISTRICT 3;15;KENNETH  SOLBERG;NP;29;29;410;54.09
356;COUNTY COMMISSIONER DISTRICT 3;15;DOUGLAS E. ANDERSON;NP;29;29;337;44.46
357;COUNTY COMMISSIONER DISTRICT 3;15;WRITE-IN (TOTAL);WI;29;29;11;1.45
358;COUNTY COMMISSIONER DISTRICT 4;15;TODD G. PETERSON;NP;29;29;165;23.54
359;COUNTY COMMISSIONER DISTRICT 4;15;JOHN A. NELSON;NP;29;29;536;76.46
360;COUNTY COMMISSIONER DISTRICT 4;15;WRITE-IN (TOTAL);WI;29;29;0;0
361;COUNTY COMMISSIONER DISTRICT 5;15;TOM ANDERSON;NP;29;29;399;50.44
362;COUNTY COMMISSIONER DISTRICT 5;15;GARY ECK;NP;29;29;384;48.55
363;COUNTY COMMISSIONER DISTRICT 5;15;WRITE-IN (TOTAL);WI;29;29;8;1.01
364;COUNTY AUDITOR;15;DANIEL C. STENSENG;NP;29;29;3328;99.76
365;COUNTY AUDITOR;15;WRITE-IN (TOTAL);WI;29;29;8;0.24
366;COUNTY TREASURER;15;CHARLENE R.  OLSON;NP;29;29;3323;99.43
367;COUNTY TREASURER;15;WRITE-IN (TOTAL);WI;29;29;19;0.57
368;COUNTY RECORDER;15;ALLEN L PAULSON;NP;29;29;3295;99.73
369;COUNTY RECORDER;15;WRITE-IN (TOTAL);WI;29;29;9;0.27
370;COUNTY SHERIFF;15;DARIN L. HALVERSON;NP;29;29;1630;45.14
371;COUNTY SHERIFF;15;DENNY TRANDEM;NP;29;29;1862;51.56
372;COUNTY SHERIFF;15;WRITE-IN (TOTAL);WI;29;29;119;3.3
373;COUNTY ATTORNEY;15;KIP O. FONTAINE;NP;29;29;3127;99.08
374;COUNTY ATTORNEY;15;WRITE-IN (TOTAL);WI;29;29;29;0.92
375;COUNTY CORONER;15;RUDD B. THABES D.O.;NP;29;29;3244;99.57
376;COUNTY CORONER;15;WRITE-IN (TOTAL);WI;29;29;14;0.43
377;SOIL AND WATER SUPERVISOR DISTRICT 3;15;RICHARD PAYNE;NP;29;29;3214;99.84
378;SOIL AND WATER SUPERVISOR DISTRICT 3;15;WRITE-IN (TOTAL);WI;29;29;5;0.16
379;SOIL AND WATER SUPERVISOR DISTRICT 4;15;LEONARD M.  STINAR;NP;29;29;3124;99.81
380;SOIL AND WATER SUPERVISOR DISTRICT 4;15;WRITE-IN (TOTAL);WI;29;29;6;0.19
381;COUNTY COMMISSIONER DISTRICT 1;16;JANICE E. HALL;NP;12;12;308;63.9
382;COUNTY COMMISSIONER DISTRICT 1;16;ROBERT "BOB"  DESCHAMPE;NP;12;12;170;35.27
383;COUNTY COMMISSIONER DISTRICT 1;16;WRITE-IN (TOTAL);WI;12;12;4;0.83
384;COUNTY COMMISSIONER DISTRICT 2;16;WALTER T. MIANOWSKI;NP;12;12;420;97.22
385;COUNTY COMMISSIONER DISTRICT 2;16;WRITE-IN (TOTAL);WI;12;12;12;2.78
386;COUNTY COMMISSIONER DISTRICT 3;16;DAVID WILLIAMS;NP;12;12;121;20.03
387;COUNTY COMMISSIONER DISTRICT 3;16;ROBERT FENWICK;NP;12;12;482;79.8
388;COUNTY COMMISSIONER DISTRICT 3;16;WRITE-IN (TOTAL);WI;12;12;1;0.17
389;COUNTY COMMISSIONER DISTRICT 4;16;CAROL GRESCZYK;NP;12;12;289;48.33
390;COUNTY COMMISSIONER DISTRICT 4;16;GENE R. ERICKSON;NP;12;12;308;51.51
391;COUNTY COMMISSIONER DISTRICT 4;16;WRITE-IN (TOTAL);WI;12;12;1;0.17
392;COUNTY COMMISSIONER DISTRICT 5;16;JUDITH MOTSCHENBACHER;NP;12;12;268;47.02
393;COUNTY COMMISSIONER DISTRICT 5;16;BRUCE MARTINSON;NP;12;12;296;51.93
394;COUNTY COMMISSIONER DISTRICT 5;16;WRITE-IN (TOTAL);WI;12;12;6;1.05
395;COUNTY AUDITOR/TREASURER;16;BRAIDY POWERS;NP;12;12;2468;99.68
396;COUNTY AUDITOR/TREASURER;16;WRITE-IN (TOTAL);WI;12;12;8;0.32
397;COUNTY RECORDER;16;DUSTY NELMS;NP;12;12;2480;99.72
398;COUNTY RECORDER;16;WRITE-IN (TOTAL);WI;12;12;7;0.28
399;COUNTY SHERIFF;16;WILLIAM "BILL" MYERS;NP;12;12;670;23.94
400;COUNTY SHERIFF;16;DAVID W. WIRT;NP;12;12;2125;75.92
401;COUNTY SHERIFF;16;WRITE-IN (TOTAL);WI;12;12;4;0.14
402;COUNTY ATTORNEY;16;BILL HENNESSY;NP;12;12;1634;61.15
403;COUNTY ATTORNEY;16;DONALD B. DAVISON;NP;12;12;1004;37.57
404;COUNTY ATTORNEY;16;WRITE-IN (TOTAL);WI;12;12;34;1.27
405;SOIL AND WATER SUPERVISOR DISTRICT 2;16;JAMES HALL;NP;12;12;2273;99.17
406;SOIL AND WATER SUPERVISOR DISTRICT 2;16;WRITE-IN (TOTAL);WI;12;12;19;0.83
407;SOIL AND WATER SUPERVISOR DISTRICT 4;16;ALTON BERGLUND;NP;12;12;2293;99.48
408;SOIL AND WATER SUPERVISOR DISTRICT 4;16;WRITE-IN (TOTAL);WI;12;12;12;0.52
409;COUNTY COMMISSIONER DISTRICT 1;17;GARY SORENSON;NP;29;29;930;83.71
410;COUNTY COMMISSIONER DISTRICT 1;17;DANIEL  A JENSEN;NP;29;29;169;15.21
411;COUNTY COMMISSIONER DISTRICT 1;17;WRITE-IN (TOTAL);WI;29;29;12;1.08
412;COUNTY COMMISSIONER DISTRICT 2;17;RON KUECKER;NP;29;29;655;58.59
413;COUNTY COMMISSIONER DISTRICT 2;17;DONAVAN (SHORT) FLATGARD;NP;29;29;461;41.23
414;COUNTY COMMISSIONER DISTRICT 2;17;WRITE-IN (TOTAL);WI;29;29;2;0.18
415;COUNTY COMMISSIONER DISTRICT 3;17;CHUCK  SEVERSON;NP;29;29;992;99.1
416;COUNTY COMMISSIONER DISTRICT 3;17;WRITE-IN (TOTAL);WI;29;29;9;0.9
417;COUNTY COMMISSIONER DISTRICT 4;17;KENNETH (KEN)  ELG;NP;29;29;534;46.43
418;COUNTY COMMISSIONER DISTRICT 4;17;NORMAN HOLMEN;NP;29;29;608;52.87
419;COUNTY COMMISSIONER DISTRICT 4;17;WRITE-IN (TOTAL);WI;29;29;8;0.7
420;COUNTY COMMISSIONER DISTRICT 5;17;JOHN  OELTJENBRUNS;NP;29;29;893;98.78
421;COUNTY COMMISSIONER DISTRICT 5;17;WRITE-IN (TOTAL);WI;29;29;11;1.22
422;COUNTY AUDITOR/TREASURER;17;JAN JOHNSON;NP;29;29;5161;99.12
423;COUNTY AUDITOR/TREASURER;17;WRITE-IN (TOTAL);WI;29;29;46;0.88
424;COUNTY RECORDER;17;MARY ANN ANDERSON;NP;29;29;5089;99.76
425;COUNTY RECORDER;17;WRITE-IN (TOTAL);WI;29;29;12;0.24
426;COUNTY SHERIFF;17;BOB HAKEN;NP;29;29;4987;97.38
427;COUNTY SHERIFF;17;WRITE-IN (TOTAL);WI;29;29;134;2.62
428;COUNTY ATTORNEY;17;DOUG STOREY;NP;29;29;2811;52.72
429;COUNTY ATTORNEY;17;DAVID  P HONAN;NP;29;29;366;6.86
430;COUNTY ATTORNEY;17;WRITE-IN (TOTAL);WI;29;29;2155;40.42
431;SOIL AND WATER SUPERVISOR DISTRICT 1;17;CLARK LINGBEEK;NP;29;29;4794;99.81
432;SOIL AND WATER SUPERVISOR DISTRICT 1;17;WRITE-IN (TOTAL);WI;29;29;9;0.19
433;SOIL AND WATER SUPERVISOR DISTRICT 3;17;RONALD TIBODEAU;NP;29;29;3527;69.13
434;SOIL AND WATER SUPERVISOR DISTRICT 3;17;CHARLES GRANT;NP;29;29;1569;30.75
435;SOIL AND WATER SUPERVISOR DISTRICT 3;17;WRITE-IN (TOTAL);WI;29;29;6;0.12
436;COUNTY COMMISSIONER DISTRICT 2;18;DAVID T. KENNEDY;NP;59;59;3006;46.78
437;COUNTY COMMISSIONER DISTRICT 2;18;ED LARSEN;NP;59;59;3400;52.91
438;COUNTY COMMISSIONER DISTRICT 2;18;WRITE-IN (TOTAL);WI;59;59;20;0.31
439;COUNTY COMMISSIONER DISTRICT 3;18;TERRY L. SLUSS;NP;59;59;2089;53.44
440;COUNTY COMMISSIONER DISTRICT 3;18;KAREN TOMAN;NP;59;59;1802;46.1
441;COUNTY COMMISSIONER DISTRICT 3;18;WRITE-IN (TOTAL);WI;59;59;18;0.46
442;COUNTY COMMISSIONER DISTRICT 4;18;GARY W. WALTERS;NP;59;59;2860;56.09
443;COUNTY COMMISSIONER DISTRICT 4;18;GILBERT DEWES;NP;59;59;2228;43.69
444;COUNTY COMMISSIONER DISTRICT 4;18;WRITE-IN (TOTAL);WI;59;59;11;0.22
445;COUNTY AUDITOR;18;ROY A. LUUKKONEN;NP;59;59;22823;99.38
446;COUNTY AUDITOR;18;WRITE-IN (TOTAL);WI;59;59;142;0.62
447;COUNTY TREASURER;18;LAUREEN E. BORDEN;NP;59;59;22814;99.54
448;COUNTY TREASURER;18;WRITE-IN (TOTAL);WI;59;59;106;0.46
449;COUNTY RECORDER;18;KATHY LUDENIA;NP;59;59;22420;99.6
450;COUNTY RECORDER;18;WRITE-IN (TOTAL);WI;59;59;89;0.4
451;COUNTY SHERIFF;18;ERIC P. KLANG;NP;59;59;14679;56.24
452;COUNTY SHERIFF;18;DICK ROSS;NP;59;59;11358;43.51
453;COUNTY SHERIFF;18;WRITE-IN (TOTAL);WI;59;59;65;0.25
454;COUNTY ATTORNEY;18;DONALD F. RYAN;NP;59;59;21806;99.21
455;COUNTY ATTORNEY;18;WRITE-IN (TOTAL);WI;59;59;173;0.79
456;SOIL AND WATER SUPERVISOR DISTRICT 2;18;ALVIN L. JACOBSON;NP;59;59;21135;99.52
457;SOIL AND WATER SUPERVISOR DISTRICT 2;18;WRITE-IN (TOTAL);WI;59;59;102;0.48
458;SOIL AND WATER SUPERVISOR DISTRICT 3;18;GEORGE W. HEGLUND;NP;59;59;20942;99.56
459;SOIL AND WATER SUPERVISOR DISTRICT 3;18;WRITE-IN (TOTAL);WI;59;59;92;0.44
460;COUNTY COMMISSIONER DISTRICT 2;19;KATHLEEN A. GAYLORD;NP;134;135;9872;50.53
461;COUNTY COMMISSIONER DISTRICT 2;19;DONALD JAMES MAHER;NP;134;135;9608;49.18
462;COUNTY COMMISSIONER DISTRICT 2;19;WRITE-IN (TOTAL);WI;134;135;56;0.29
463;COUNTY COMMISSIONER DISTRICT 4;19;NANCY SCHOUWEILER;NP;134;135;11198;57.56
464;COUNTY COMMISSIONER DISTRICT 4;19;"JIM" JAMES G MUELLER;NP;134;135;8195;42.12
465;COUNTY COMMISSIONER DISTRICT 4;19;WRITE-IN (TOTAL);WI;134;135;63;0.32
466;COUNTY COMMISSIONER DISTRICT 6;19;PAUL J. KRAUSE;NP;134;135;19768;99.15
467;COUNTY COMMISSIONER DISTRICT 6;19;WRITE-IN (TOTAL);WI;134;135;170;0.85
468;COUNTY SHERIFF;19;DON GUDMUNDSON;NP;134;135;129797;98.97
469;COUNTY SHERIFF;19;WRITE-IN (TOTAL);WI;134;135;1355;1.03
470;COUNTY ATTORNEY;19;JAMES C. BACKSTROM;NP;134;135;130898;99.04
471;COUNTY ATTORNEY;19;WRITE-IN (TOTAL);WI;134;135;1273;0.96
472;SOIL AND WATER SUPERVISOR DISTRICT 1;19;RICK HANSEN;NP;134;135;61404;54.73
473;SOIL AND WATER SUPERVISOR DISTRICT 1;19;SCOTT A. HOLM;NP;134;135;50092;44.65
474;SOIL AND WATER SUPERVISOR DISTRICT 1;19;WRITE-IN (TOTAL);WI;134;135;704;0.63
475;SOIL AND WATER SUPERVISOR DISTRICT 3;19;KEVIN CHAMBERLAIN;NP;134;135;55295;48.97
476;SOIL AND WATER SUPERVISOR DISTRICT 3;19;MONICA BROIN;NP;134;135;57069;50.54
477;SOIL AND WATER SUPERVISOR DISTRICT 3;19;WRITE-IN (TOTAL);WI;134;135;557;0.49
478;COUNTY QUESTION 1;19;YES  ;NP;134;135;91823;56.59
479;COUNTY QUESTION 1;19;NO  ;NP;134;135;70446;43.41
480;COUNTY COMMISSIONER DISTRICT 1;20;KLAUS ALBERTS;NP;19;19;1135;53.82
481;COUNTY COMMISSIONER DISTRICT 1;20;MARK LAMPHERE;NP;19;19;971;46.04
482;COUNTY COMMISSIONER DISTRICT 1;20;WRITE-IN (TOTAL);WI;19;19;3;0.14
483;COUNTY COMMISSIONER DISTRICT 2;20;LYLE TJOSAAS;NP;19;19;1465;99.59
484;COUNTY COMMISSIONER DISTRICT 2;20;WRITE-IN (TOTAL);WI;19;19;6;0.41
485;COUNTY COMMISSIONER DISTRICT 3;20;WAYNE MCCOLLEY;NP;19;19;535;36.44
486;COUNTY COMMISSIONER DISTRICT 3;20;DAVID F. ERICKSON;NP;19;19;932;63.49
487;COUNTY COMMISSIONER DISTRICT 3;20;WRITE-IN (TOTAL);WI;19;19;1;0.07
488;COUNTY COMMISSIONER DISTRICT 4;20;DON D. GRAY;NP;19;19;1267;98.75
489;COUNTY COMMISSIONER DISTRICT 4;20;WRITE-IN (TOTAL);WI;19;19;16;1.25
490;COUNTY COMMISSIONER DISTRICT 5;20;DAVID HANSON;NP;19;19;731;64.52
491;COUNTY COMMISSIONER DISTRICT 5;20;CHUCK JOHNSON;NP;19;19;398;35.13
492;COUNTY COMMISSIONER DISTRICT 5;20;WRITE-IN (TOTAL);WI;19;19;4;0.35
493;COUNTY AUDITOR/TREASURER;20;JANET TRIPP;NP;19;19;7198;99.56
494;COUNTY AUDITOR/TREASURER;20;WRITE-IN (TOTAL);WI;19;19;32;0.44
495;COUNTY RECORDER;20;SUE A. ALBERTS;NP;19;19;7001;99.52
496;COUNTY RECORDER;20;WRITE-IN (TOTAL);WI;19;19;34;0.48
497;COUNTY SHERIFF;20;JIM JENSEN;NP;19;19;2775;36.16
498;COUNTY SHERIFF;20;GARY THOMPSON;NP;19;19;4890;63.72
499;COUNTY SHERIFF;20;WRITE-IN (TOTAL);WI;19;19;9;0.12
500;COUNTY ATTORNEY;20;PAUL J. KILTINEN;NP;19;19;7086;99.4
501;COUNTY ATTORNEY;20;WRITE-IN (TOTAL);WI;19;19;43;0.6
502;SOIL AND WATER SUPERVISOR DISTRICT 3;20;JOHN KVASNICKA;NP;19;19;6914;99.75
503;SOIL AND WATER SUPERVISOR DISTRICT 3;20;WRITE-IN (TOTAL);WI;19;19;17;0.25
504;SOIL AND WATER SUPERVISOR DISTRICT 4;20;ORLO TOQUAM;NP;19;19;6888;99.86
505;SOIL AND WATER SUPERVISOR DISTRICT 4;20;WRITE-IN (TOTAL);WI;19;19;10;0.15
506;COUNTY COMMISSIONER DISTRICT 2;21;VERN LORSUNG;NP;36;36;1502;45.75
507;COUNTY COMMISSIONER DISTRICT 2;21;JOHN E. MINGUS;NP;36;36;1778;54.16
508;COUNTY COMMISSIONER DISTRICT 2;21;WRITE-IN (TOTAL);WI;36;36;3;0.09
509;COUNTY COMMISSIONER DISTRICT 4;21;PAT  HELDT;NP;36;36;1153;48.88
510;COUNTY COMMISSIONER DISTRICT 4;21;PAUL C. ANDERSON;NP;36;36;1201;50.91
511;COUNTY COMMISSIONER DISTRICT 4;21;WRITE-IN (TOTAL);WI;36;36;5;0.21
512;COUNTY COMMISSIONER DISTRICT 5;21;ARLAN KAKAC;NP;36;36;1190;41.39
513;COUNTY COMMISSIONER DISTRICT 5;21;DAN OLSON;NP;36;36;1683;58.54
514;COUNTY COMMISSIONER DISTRICT 5;21;WRITE-IN (TOTAL);WI;36;36;2;0.07
515;COUNTY AUDITOR/TREASURER;21;HARVEY TEWES;NP;36;36;13508;99.32
516;COUNTY AUDITOR/TREASURER;21;WRITE-IN (TOTAL);WI;36;36;92;0.68
517;COUNTY RECORDER;21;DARLENE  CHERMAK;NP;36;36;13582;99.57
518;COUNTY RECORDER;21;WRITE-IN (TOTAL);WI;36;36;58;0.43
519;COUNTY SHERIFF;21;BILL INGEBRIGTSEN;NP;36;36;13964;99.06
520;COUNTY SHERIFF;21;WRITE-IN (TOTAL);WI;36;36;132;0.94
521;COUNTY ATTORNEY;21;CHRISTOPHER D. KARPAN;NP;36;36;13197;99.14
522;COUNTY ATTORNEY;21;WRITE-IN (TOTAL);WI;36;36;115;0.86
523;SOIL AND WATER SUPERVISOR DISTRICT 1;21;LEE BURKEY;NP;36;36;13135;99.7
524;SOIL AND WATER SUPERVISOR DISTRICT 1;21;WRITE-IN (TOTAL);WI;36;36;39;0.3
525;SOIL AND WATER SUPERVISOR DISTRICT 3;21;GERHARD THOENNES;NP;36;36;13118;99.66
526;SOIL AND WATER SUPERVISOR DISTRICT 3;21;WRITE-IN (TOTAL);WI;36;36;45;0.34
527;COUNTY COMMISSIONER DISTRICT 2;22;LOREN LEIN;NP;33;33;1333;95.01
528;COUNTY COMMISSIONER DISTRICT 2;22;WRITE-IN (TOTAL);WI;33;33;70;4.99
529;COUNTY COMMISSIONER DISTRICT 4;22;TOM H LOVEALL;NP;33;33;774;51.22
530;COUNTY COMMISSIONER DISTRICT 4;22;RALPH PRESCHER;NP;33;33;735;48.64
531;COUNTY COMMISSIONER DISTRICT 4;22;WRITE-IN (TOTAL);WI;33;33;2;0.13
532;COUNTY AUDITOR;22;JOHN L THOMPSON;NP;33;33;6957;99.57
533;COUNTY AUDITOR;22;WRITE-IN (TOTAL);WI;33;33;30;0.43
534;COUNTY TREASURER;22;DAVID E FRANK;NP;33;33;7113;99.65
535;COUNTY TREASURER;22;WRITE-IN (TOTAL);WI;33;33;25;0.35
536;COUNTY RECORDER;22;NANCY HUFF;NP;33;33;6920;99.7
537;COUNTY RECORDER;22;WRITE-IN (TOTAL);WI;33;33;21;0.3
538;COUNTY SHERIFF;22;SCOTT L CAMPBELL;NP;33;33;4633;61.43
539;COUNTY SHERIFF;22;RICK HERMAN;NP;33;33;2881;38.2
540;COUNTY SHERIFF;22;WRITE-IN (TOTAL);WI;33;33;28;0.37
541;COUNTY ATTORNEY;22;BRIAN D ROVERUD;NP;33;33;6781;98.7
542;COUNTY ATTORNEY;22;WRITE-IN (TOTAL);WI;33;33;89;1.3
543;SOIL AND WATER SUPERVISOR DISTRICT 2;22;JAN E WILLETTE;NP;33;33;6842;99.65
544;SOIL AND WATER SUPERVISOR DISTRICT 2;22;WRITE-IN (TOTAL);WI;33;33;24;0.35
545;SOIL AND WATER SUPERVISOR DISTRICT 3;22;WRITE-IN (TOTAL);WI;33;33;488;100
546;SOIL AND WATER SUPERVISOR DISTRICT 5;22;DENNY COLE;NP;33;33;6623;99.71
547;SOIL AND WATER SUPERVISOR DISTRICT 5;22;WRITE-IN (TOTAL);WI;33;33;19;0.29
548;COUNTY COMMISSIONER DISTRICT 1;23;HELEN BICKNESE;NP;37;37;1676;98.76
549;COUNTY COMMISSIONER DISTRICT 1;23;WRITE-IN (TOTAL);WI;37;37;21;1.24
550;COUNTY COMMISSIONER DISTRICT 2;23;DONALD J. BOYUM;NP;37;37;760;42.15
551;COUNTY COMMISSIONER DISTRICT 2;23;RANDALL T. DAHL;NP;37;37;1042;57.79
552;COUNTY COMMISSIONER DISTRICT 2;23;WRITE-IN (TOTAL);WI;37;37;1;0.06
553;COUNTY COMMISSIONER DISTRICT 3;23;CHUCK  AMUNRUD;NP;37;37;1548;98.22
554;COUNTY COMMISSIONER DISTRICT 3;23;WRITE-IN (TOTAL);WI;37;37;28;1.78
555;COUNTY COMMISSIONER DISTRICT 4;23;DUANE BAKKE;NP;37;37;1150;56.23
556;COUNTY COMMISSIONER DISTRICT 4;23;SANDRA BENSON;NP;37;37;891;43.57
557;COUNTY COMMISSIONER DISTRICT 4;23;WRITE-IN (TOTAL);WI;37;37;4;0.2
558;COUNTY AUDITOR/TREASURER;23;PHILIP R. BURKHOLDER;NP;37;37;8460;99.69
559;COUNTY AUDITOR/TREASURER;23;WRITE-IN (TOTAL);WI;37;37;26;0.31
560;COUNTY RECORDER;23;RICHARD W.  MENSINK;NP;37;37;8057;99.76
561;COUNTY RECORDER;23;WRITE-IN (TOTAL);WI;37;37;19;0.24
562;COUNTY SHERIFF;23;JIM CONNOLLY;NP;37;37;8299;99.03
563;COUNTY SHERIFF;23;WRITE-IN (TOTAL);WI;37;37;81;0.97
564;COUNTY ATTORNEY;23;BRETT A. CORSON;NP;37;37;4796;55.07
565;COUNTY ATTORNEY;23;ERIC V. HERENDEEN;NP;37;37;3907;44.86
566;COUNTY ATTORNEY;23;WRITE-IN (TOTAL);WI;37;37;6;0.07
567;SOIL AND WATER SUPERVISOR DISTRICT 1;23;BRIAN HAZEL;NP;37;37;7991;99.76
